TARGET_DU:Rotation-ActVel      2020-06-09 13:57:26.358647 2.3389  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:26.858706 2.2566  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:27.358734 2.2709  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:27.859771 2.3353  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:28.358830 2.203  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:28.858867 2.1386  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:29.359003 2.1887  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:29.858123 2.2352  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:30.358133 2.1601  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:30.858062 2.0993  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:31.358091 2.11  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:31.858071 2.0456  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:32.358132 1.9598  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:32.858152 2.0278  
